"Setting Applicability 
(refer to compliance section under Cover tab)",Category,CIS Section Header,CIS #,"CIS Setting Title
(for reference only)",Synapxe Setting Title,Synapxe Remediation Steps,Synapxe Verification Procedure,"Synapxe Exceptions
(Default exceptions to refer to CIS Benchmark)",Change Description / Remarks,"Manual Check 
(Y/N)?",Covered in Script,Notes
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.4.3,Ensure nosuid option set on /var partition,Ensure nosuid option set on /var partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.5.1,Ensure separate partition exists for /var/tmp,Ensure separate partition exists for /var/tmp,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.5.2,Ensure nodev option set on /var/tmp partition,Ensure nodev option set on /var/tmp partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.5.3,Ensure nosuid option set on /var/tmp partition,Ensure nosuid option set on /var/tmp partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.5.4,Ensure noexec option set on /var/tmp partition,Ensure noexec option set on /var/tmp partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.6.1,Ensure separate partition exists for /var/log,Ensure separate partition exists for /var/log,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.6.2,Ensure nodev option set on /var/log partition,Ensure nodev option set on /var/log partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.6.3,Ensure nosuid option set on /var/log partition,Ensure nosuid option set on /var/log partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.6.4,Ensure noexec option set on /var/log partition,Ensure noexec option set on /var/log partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.7.1,Ensure separate partition exists for /var/log/audit,Ensure separate partition exists for /var/log/audit,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.7.2,Ensure nodev option set on /var/log/audit partition,Ensure nodev option set on /var/log/audit partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.7.3,Ensure nosuid option set on /var/log/audit partition,Ensure nosuid option set on /var/log/audit partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.7.4,Ensure noexec option set on /var/log/audit partition,Ensure noexec option set on /var/log/audit partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Software and Patch Management,1.2.2,Ensure gpgcheck is globally activated,Ensure gpgcheck is globally activated,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Secure Boot Settings,1.3.2,Ensure permissions on bootloader config are configured,Ensure permissions on bootloader config are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Additional Process Hardening,1.4.1,Ensure address space layout randomization (ASLR) is enabled,Ensure address space layout randomization (ASLR) is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Additional Process Hardening,1.4.2,Ensure ptrace_scope is restricted,Ensure ptrace_scope is restricted,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Additional Process Hardening,1.4.3,Ensure core dump backtraces are disabled,Ensure core dump backtraces are disabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Additional Process Hardening,1.4.4,Ensure core dump storage is disabled,Ensure core dump storage is disabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SELinux,1.5.1.1,Ensure SELinux is installed,Ensure SELinux is installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SELinux,1.5.1.2,Ensure SELinux is not disabled in bootloader configuration,SELinux is not disabled in bootloader configuration,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SELinux,1.5.1.3,Ensure SELinux policy is configured,Ensure SELinux policy is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SELinux,1.5.1.4,Ensure the SELinux mode is not disabled,Ensure the SELinux mode is not disabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SELinux,1.5.1.5,Ensure the SELinux mode is enforcing,Ensure the SELinux state is enforcing,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SELinux,1.5.1.6,Ensure no unconfined services exist,Ensure no unconfined services exist,Adopt CIS.,Adopt CIS.,"The following services are exempted from this setting, as they are known to deviate by design:
",NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SELinux,1.5.1.7,Ensure the MCS Translation Service (mcstrans) is not installed,Ensure the MCS Translation Service (mcstrans) is not installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SELinux,1.5.1.8,Ensure SETroubleshoot is not installed,Ensure SETroubleshoot is not installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure system wide crypto policy,1.6.1,Ensure system wide crypto policy is not set to legacy,Ensure system wide crypto policy is not set to legacy,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure system wide crypto policy,1.6.2,Ensure system wide crypto policy disables sha1 hash and signature support,Ensure system wide crypto policy disables sha1 hash and signature support,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure system wide crypto policy,1.6.3,Ensure system wide crypto policy disables cbc for ssh,Ensure system wide crypto policy disables cbc for ssh,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure system wide crypto policy,1.6.4,Ensure system wide crypto policy disables macs less than 128 bits,Ensure system wide crypto policy disables macs less than 128 bits,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Command Line Warning Banners,1.7.1,Ensure message of the day is configured properly ,Ensure message of the day is configured properly ,"Adopt CIS.
<Based on Clusters' / Agencies' approved MOTD>",Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Command Line Warning Banners,1.7.4,Ensure access to /etc/motd is configured,Ensure access to /etc/motd is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Command Line Warning Banners,1.7.5,Ensure access to /etc/issue is configured,Ensure access to /etc/issue is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Command Line Warning Banners,1.7.6,Ensure access to /etc/issue.net is configured,Ensure access to /etc/issue.net is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure GNOME Display Manager,1.8.3,Ensure GDM disable-user-list option is enabled,Ensure GDM disable-user-list option is enabled,Adopt CIS.,Adopt CIS.,NIL,"If GNOME or GDM is not installed, this setting is considered not applicable.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure GNOME Display Manager,1.8.4,Ensure GDM screen locks when the user is idle,Ensure GDM screen locks when the user is idle,Adopt CIS.,Adopt CIS.,NIL,"If GNOME or GDM is not installed, this setting is considered not applicable.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure GNOME Display Manager,1.8.5,Ensure GDM screen locks cannot be overridden,Ensure GDM screen locks cannot be overridden,Adopt CIS.,Adopt CIS.,NIL,"If GNOME or GDM is not installed, this setting is considered not applicable.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure GNOME Display Manager,1.8.6,Ensure GDM automatic mounting of removable media is disabled,Ensure GDM automatic mounting of removable media is disabled,Adopt CIS.,Adopt CIS.,NIL,"If GNOME or GDM is not installed, this setting is considered not applicable.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure GNOME Display Manager,1.8.7,Ensure GDM disabling automatic mounting of removable media is not overridden,Ensure GDM disabling automatic mounting of removable media is not overridden,Adopt CIS.,Adopt CIS.,NIL,"If GNOME or GDM is not installed, this setting is considered not applicable.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure GNOME Display Manager,1.8.8,Ensure GDM autorun-never is enabled,Ensure GDM autorun-never is enabled,Adopt CIS.,Adopt CIS.,NIL,"If GNOME or GDM is not installed, this setting is considered not applicable.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure GNOME Display Manager,1.8.9,Ensure GDM autorun-never is not overridden,Ensure GDM autorun-never is not overridden,Adopt CIS.,Adopt CIS.,NIL,"If GNOME or GDM is not installed, this setting is considered not applicable.",N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure GNOME Display Manager,1.8.10,Ensure XDMCP is not enabled,N.A.,N.A.,N.A.,N.A.,"If GNOME or GDM is not installed, this setting is considered not applicable.",N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Time Synchronization,2.1.1,Ensure time synchronization is in use,Ensure time synchronization is in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Time Synchronization,2.1.2,Ensure chrony is configured,Ensure chrony is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Time Synchronization,2.1.3,Ensure chrony is not run as the root user,Ensure chrony is not run as the root user,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.1,Ensure autofs services are not in use,Ensure autofs services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.2,Ensure avahi daemon services are not in use,Ensure avahi daemon services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.3,Ensure dhcp server services are not in use,Ensure dhcp server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.4,Ensure dns server services are not in use,Ensure dns server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.5,Ensure dnsmasq services are not in use,Ensure dnsmasq services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.6,Ensure samba file server services are not in use,Ensure samba file server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.7,Ensure ftp server services are not in use,Ensure ftp server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.8,Ensure message access server services are not in use,Ensure message access server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.9,Ensure network file system services are not in use,Ensure network file system services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.10,Ensure nis server services are not in use,Ensure nis server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.11,Ensure print server services are not in use,Ensure print server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.12,Ensure rpcbind services are not in use,Ensure rpcbind services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.13,Ensure rsync services are not in use,Ensure rsync services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.15,Ensure telnet server services are not in use,Ensure telnet server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.16,Ensure tftp server services are not in use,Ensure tftp server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.17,Ensure web proxy server services are not in use,Ensure web proxy server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.18,Ensure web server services are not in use,Ensure web server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.19,Ensure xinetd services are not in use,Ensure xinetd services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.20,Ensure X window server services are not in use,Ensure X window server services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Special Purpose Services,2.2.21,Ensure mail transfer agents are configured for local-only mode,Ensure mail transfer agents are configured for local-only mode,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Service Clients,2.3.1,Ensure ftp client is not installed,Ensure ftp client is not installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Service Clients,2.3.2,Ensure ldap client is not installed,Ensure ldap client is not installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Service Clients,2.3.3,Ensure nis client is not installed,Ensure nis client is not installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Service Clients,2.3.4,Ensure telnet client is not installed,Ensure telnet client is not installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Service Clients,2.3.5,Ensure tftp client is not installed,Ensure tftp client is not installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Network Devices,3.1.2,Ensure wireless interfaces are disabled,Ensure wireless interfaces are disabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Devices,3.1.3,Ensure bluetooth services are not in use,Ensure bluetooth services are not in use,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Modules,3.2.1,Ensure dccp kernel module is not available,Ensure dccp kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Modules,3.2.2,Ensure tipc kernel module is not available,Ensure tipc kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Modules,3.2.3,Ensure rds kernel module is not available,Ensure rds kernel module is not available,Adopt CIS.,Adopt CIS.,"This setting is excluded from this check for RedHat server running Oracle RAC (Real Application Clusters), as it is expected to deviate from this setting by design.",NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Modules,3.2.4,Ensure sctp kernel module is not available,Ensure sctp kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Parameters,3.3.1,Ensure ip forwarding is disabled,Ensure ip forwarding is disabled,Adopt CIS.,Adopt CIS.,"This setting is excluded from this check for RedHat server running Containerization tools such as, Docker and Podman, as they are expected to deviate from this setting by design.",NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Network Kernel Parameters,3.3.2,Ensure packet redirect sending is disabled,Ensure packet redirect sending is disabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Parameters,3.3.3,Ensure bogus icmp responses are ignored,Ensure bogus icmp responses are ignored,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Parameters,3.3.4,Ensure broadcast icmp requests are ignored,Ensure broadcast icmp requests are ignored,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Parameters,3.3.5,Ensure icmp redirects are not accepted,Ensure icmp redirects are not accepted,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Parameters,3.3.6,Ensure secure icmp redirects are not accepted,Ensure secure icmp redirects are not accepted,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Parameters,3.3.7,Ensure reverse path filtering is enabled,Ensure reverse path filtering is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Network Kernel Parameters,3.3.8,Ensure source routed packets are not accepted,Ensure source routed packets are not accepted,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Network Kernel Parameters,3.3.9,Ensure suspicious packets are logged,Ensure suspicious packets are logged,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Parameters,3.3.10,Ensure tcp syn cookies is enabled,Ensure tcp syn cookies is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Network Kernel Parameters,3.3.11,Ensure ipv6 router advertisements are not accepted,Ensure ipv6 router advertisements are not accepted,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure a firewall utility,3.4.1.1,Ensure nftables is installed,N.A.,N.A.,N.A.,N.A.,Synapxe does not leverage on host based firewall / iptables / nftables.,N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure a firewall utility,3.4.1.2,Ensure a single firewall configuration utility is in use,N.A.,N.A.,N.A.,N.A.,Synapxe does not leverage on host based firewall / iptables / nftables.,N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure firewall rules,3.4.2.1,Ensure nftables base chains exist,N.A.,N.A.,N.A.,N.A.,Synapxe does not leverage on host based firewall / iptables / nftables.,N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure firewall rules,3.4.2.2,Ensure host based firewall loopback traffic is configured,N.A.,N.A.,N.A.,N.A.,Synapxe does not leverage on host based firewall / iptables / nftables.,N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure firewall rules,3.4.2.5,Ensure nftables default deny firewall policy,N.A.,N.A.,N.A.,N.A.,Synapxe does not leverage on host based firewall / iptables / nftables.,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure cron,4.1.1.1,Ensure cron daemon is enabled and active,Ensure cron daemon is enabled and active,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure cron,4.1.1.2,Ensure permissions on /etc/crontab are configured,Ensure permissions on /etc/crontab are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure cron,4.1.1.3,Ensure permissions on /etc/cron.hourly are configured,Ensure permissions on /etc/cron.hourly are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure cron,4.1.1.4,Ensure permissions on /etc/cron.daily are configured,Ensure permissions on /etc/cron.daily are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure cron,4.1.1.5,Ensure permissions on /etc/cron.weekly are configured,Ensure permissions on /etc/cron.weekly are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure cron,4.1.1.6,Ensure permissions on /etc/cron.monthly are configured,Ensure permissions on /etc/cron.monthly are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure cron,4.1.1.7,Ensure permissions on /etc/cron.d are configured,Ensure permissions on /etc/cron.d are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure cron,4.1.1.8,Ensure crontab is restricted to authorized users,Ensure crontab is restricted to authorized users,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure at,4.1.2.1,Ensure at is restricted to authorized users,Ensure at is restricted to authorized users,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SSH Server,4.2.1,Ensure permissions on /etc/ssh/sshd_config are configured,Ensure permissions on /etc/ssh/sshd_config are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
